Data,Setor,Total de visualizações
01/16/2024,Plataformas de rede social,63
01/16/2024,Atividades fotográficas e similares,62
01/16/2024,Abate e fabricação de produtos de carne,61
01/16/2024,Centros de planejamento familiar,59
01/16/2024,Capital de risco e participações privadas,59
01/16/2024,Saúde humana e serviços sociais,58
03/24/2024,Administração pública executiva,58
01/16/2024,Comércio atacadista de máquinas,57
01/16/2024,Administração do estado e da política econômica e social,57
03/24/2024,Armazenamento e atividades auxiliares dos transportes,57
03/24/2024,"Forças de segurança, ordem pública e defesa civil",57
03/24/2024,Pesquisa biotecnológica,56
03/24/2024,Fabricação de aeronaves,56
01/16/2024,Seguradoras,55
01/16/2024,Infraestrutura e análise de dados,54
03/24/2024,"Fabricação de vidro, cerâmica e concreto",53
01/16/2024,Laboratórios clínicos e serviços de diagnóstico,53
03/24/2024,"Artes, cultura, esporte e recreação",52
01/16/2024,"Músicos, produtores e promotores musicais",52
01/16/2024,Construção de embarcações,51
01/16/2024,"Fabricação de produtos de panificação, massas alimentícias, e biscoitos e bolachas",50
01/16/2024,"Fabricação de defensivos agrícolas, adubos e fertilizantes",50
01/16/2024,Fabricação de artefatos esportivos,49
01/16/2024,Fabricação de componentes eletrônicos,49
01/16/2024,Comércio varejista de produtos alimentícios e bebidas,49
01/16/2024,Atividades veterinárias,49
01/16/2024,Fabricação de equipamentos de comunicação,48
01/16/2024,Terapias alternativas,47
01/16/2024,Plataformas de business intelligence,47
03/24/2024,"Tradução, interpretação e similares",47
01/16/2024,Administração pública executiva,46
03/24/2024,Atividades de impressão,46
03/24/2024,Consultórios médicos,44
01/16/2024,Mercados de capital,44
03/24/2024,Transporte aéreo,44
01/16/2024,Fabricação de produtos de borracha,43
01/16/2024,Agentes e corretores imobiliários,43
01/16/2024,Fabricação de vidro e de produtos do vidro,43
01/16/2024,"Tradução, interpretação e similares",43
03/24/2024,Think tanks,42
01/16/2024,Educação profissional de nível técnico e tecnológico,42
03/24/2024,Atividades de bibliotecas e arquivos,42
01/16/2024,"Forças de segurança, ordem pública e defesa civil",42
03/24/2024,Serviços de assistência social sem alojamento,42
01/16/2024,Notícias on-line,42
01/16/2024,Aluguel de máquinas e equipamentos,41
03/24/2024,Atividades de rádio e de televisão,41
03/24/2024,"Atividades artísticas, criativas e de espetáculos",41
03/24/2024,Comércio atacadista de importação e exportação de bens e commodities,40
01/16/2024,Publicação de jornais,39
01/16/2024,Serviços de relações com o governo,38
01/16/2024,Bolsas de valores e mercadorias,36
01/16/2024,Administração pública legislativa,34
01/16/2024,Dentistas,32
01/16/2024,Atendimento à saúde mental,32
01/16/2024,Fabricação de motores e equipamentos de transmissão de energia,32
01/16/2024,Holdings de instituições financeiras e não-financeiras,30
01/16/2024,Comércio atacadista de petróleo e produtos petrolíferos,30
01/16/2024,Atividades de correio,30
01/16/2024,"Fabricação de aparelhos e equipamentos de medida, teste e controle",29
01/16/2024,Comércio atacadista de produtos siderúrgicos e metalúrgicos,29
01/16/2024,Tecnologia da informação e serviços,27
01/16/2024,Comércio varejista de jóias e relógios,27
01/16/2024,Atividades de recreação e lazer,27
01/16/2024,Bancos de investimento,27
01/16/2024,Comércio atacadista especializado em produtos alimentícios e bebidas,27
01/16/2024,Comércio atacadista de produtos agrícolas não beneficiados,26
01/16/2024,Fabricação de eletrodomésticos,25
01/16/2024,"Petróleo, gás natural e mineração",25
01/16/2024,Fabricação de ferragens para construção,22
01/16/2024,"Administração, planejamento, regulamentação e fiscalização de transportes",22
01/16/2024,"Comércio varejista e manutenção de eletrodomésticos, equipamentos elétricos e eletrônicos",21
01/16/2024,Geração de energia renovável,20
01/16/2024,Fabricação de calçados,19
01/16/2024,Fabricação de produtos de borracha e de fibras artificiais e sintéticas,19
01/16/2024,Serviços de locação de mão-de-obra temporária,19
01/16/2024,"Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos",18
01/16/2024,Atividades imobiliárias não-residenciais,18
01/16/2024,Fabricação de laticínios,17
01/16/2024,Preservação e fabricação de produtos do pescado e frutos do mar,16
01/16/2024,"Fabricação de vidro, cerâmica e concreto",16
01/16/2024,Consultoria de investimento,15
01/16/2024,Fundos fiduciários,15
01/16/2024,"Fabricação de máquinas para a indústria metalúrgica, exceto máquinas-ferramenta",15
01/16/2024,Atividades de monitoramento de sistemas de segurança,14
01/16/2024,"Atividades de organizações associativas patronais, empresariais e profissionais",14
01/16/2024,Comércio e reparação de veículos automotores,14
01/16/2024,Produtos de software de computação móvel,13
01/16/2024,Fabricação de produtos de trefilados de metal padronizados,13
01/16/2024,Geração de energia elétrica por biomassa,13
01/16/2024,Construção de edifícios,13
01/16/2024,Serviços domiciliares de atendimento à saúde,12
01/16/2024,Transporte ferroviário e metroferroviário,11
01/16/2024,Fabricação de alimentos para animais,10
01/16/2024,Extração de carvão mineral,10
01/16/2024,Atividades de coordenação e controle da operação da geração e transmissão de energia elétrica,10
01/16/2024,Agências e corretoras de seguros,9
01/16/2024,Geração de energia elétrica eólica,9
01/16/2024,Horticultura e floricultura,9
01/16/2024,Relações exteriores,8
01/16/2024,"Fabricação de sabões, detergentes sintéticos e de produtos de limpeza e polimento",8
01/16/2024,Programação a cabo e por satélite,7
01/16/2024,Atividades de apoio à gestão de saúde,7
01/16/2024,Atividades de gravação de som e de edição de música,7
01/16/2024,Engenharia mecânica ou industrial,6
01/16/2024,Confecção de artigos do vestuário,5
01/16/2024,"Fabricação de produtos de metal, exceto máquinas e equipamentos",5
01/16/2024,Comércio atacadista de produtos químicos e relacionados,5
01/16/2024,Treinamento e suporte em tecnologia da informação,4
01/16/2024,Atividades de organizações associativas profissionais,4
01/16/2024,Educação à distância,4
01/16/2024,Atividades imobiliárias e de aluguel de equipamentos,4
01/16/2024,Transporte rodoviário de passageiros,4
01/16/2024,"Agricultura, pecuária, produção florestal e pesca",4
01/16/2024,Comércio de veículos motores e peças,4
01/16/2024,Conteúdo sobre empresas e negócios,4
01/16/2024,Telecomunicações por satélite,4
01/16/2024,"Alojamento, higiene e embelezamento de animais domésticos",3
01/16/2024,Centros de atendimento médico ambulatorial,3
01/16/2024,"Administração de serviços de eletricidade, gás, água, esgoto e comunicação",3
01/16/2024,Atividades de organizações políticas,3
01/16/2024,"Pousadas, albergues, hostels e alojamento residencial",3
01/16/2024,Comércio atacadista de calçados,3
01/16/2024,Museus,3
01/16/2024,Clubes esportivos,3
01/16/2024,Serviços blockchain,3
01/16/2024,"Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",2
01/16/2024,Atividades ligadas ao patrimônio cultural e ambiental,2
01/16/2024,Manutenção de equipamentos eletrônicos e de precisão,2
01/16/2024,Bares e outros estabelecimentos especializados em servir bebidas,2
01/16/2024,Atividades de vigilância e segurança privada,2
01/16/2024,Atividades de teleatendimento,2
01/16/2024,Reparação de artigos do mobiliário e estofaria,2
01/16/2024,Sistemas de tratamento e distribuição de água,2
01/16/2024,"Atividades artísticas, criativas e de espetáculos",1
01/16/2024,Arrecadação de fundos,1
01/16/2024,"Artes cênicas, espetáculos e atividades complementares",1
