Data,Impressões (orgânicas),Impressões (patrocinadas),Impressões (total),Impressões únicas (orgânicas),Cliques (orgânicos),Cliques (patrocinados),Cliques (total),Reações (orgânicas),Reações (patrocinadas),Reações (total),Comentários (orgânicos),Comentários (patrocinados),Comentários (total),Compartilhamentos (orgânicos),Compartilhamentos (patrocinados),Compartilhamentos (total),Taxa de engajamento (orgânico),Taxa de engajamento (patrocinado),Taxa de engajamento (total)
06/20/2023,8299,0,8299,4471,121,0,121,67,0,67,46,0,46,3,0,3,0.028557657549102302,0.0,0.028557657549102302
06/21/2023,2774,0,2774,1585,17,0,17,28,0,28,22,0,22,1,0,1,0.024513338139870222,0.0,0.024513338139870222
06/22/2023,2037,0,2037,1148,12,0,12,37,0,37,46,0,46,1,0,1,0.047128129602356406,0.0,0.047128129602356406
06/23/2023,2235,0,2235,1198,12,0,12,28,0,28,23,0,23,-1,0,-1,0.02774049217002237,0.0,0.02774049217002237
06/24/2023,1690,0,1690,796,17,0,17,6,0,6,0,0,0,0,0,0,0.013609467455621301,0.0,0.013609467455621301
06/25/2023,1675,0,1675,773,22,0,22,4,0,4,0,0,0,0,0,0,0.015522388059701492,0.0,0.015522388059701492
06/26/2023,2093,0,2093,1016,32,0,32,23,0,23,34,0,34,1,0,1,0.04300047778308648,0.0,0.04300047778308648
06/27/2023,4794,0,4794,2016,28,0,28,19,0,19,9,0,9,0,0,0,0.011681268251981644,0.0,0.011681268251981644
06/28/2023,3442,0,3442,1548,9,0,9,39,0,39,25,0,25,2,0,2,0.02178965717606043,0.0,0.02178965717606043
06/29/2023,5598,0,5598,1801,44,0,44,43,0,43,32,0,32,0,0,0,0.021257591997141837,0.0,0.021257591997141837
06/30/2023,4439,0,4439,1647,65,0,65,47,0,47,31,0,31,5,0,5,0.03334084253210182,0.0,0.03334084253210182
07/01/2023,4806,0,4806,1845,60,0,60,51,0,51,49,0,49,1,0,1,0.03349979192675822,0.0,0.03349979192675822
07/02/2023,5254,0,5254,1943,78,0,78,56,0,56,81,0,81,3,0,3,0.04149219642177389,0.0,0.04149219642177389
07/03/2023,6684,0,6684,2542,81,0,81,63,0,63,44,0,44,4,0,4,0.02872531418312388,0.0,0.02872531418312388
07/04/2023,3444,0,3444,1322,37,0,37,5,0,5,0,0,0,3,0,3,0.013066202090592335,0.0,0.013066202090592335
07/05/2023,6389,0,6389,3433,74,0,74,67,0,67,103,0,103,5,0,5,0.03897323524808264,0.0,0.03897323524808264
07/06/2023,7961,0,7961,5034,63,0,63,60,0,60,59,0,59,2,0,2,0.023112674287149856,0.0,0.023112674287149856
07/07/2023,3228,0,3228,1476,33,0,33,46,0,46,56,0,56,1,0,1,0.042131350681536554,0.0,0.042131350681536554
07/08/2023,3839,0,3839,1654,40,0,40,48,0,48,118,0,118,1,0,1,0.05392029174264131,0.0,0.05392029174264131
07/09/2023,2106,0,2106,817,35,0,35,6,0,6,1,0,1,0,0,0,0.019943019943019943,0.0,0.019943019943019943
07/10/2023,10739,0,10739,3188,317,0,317,9,0,9,1,0,1,4,0,4,0.030822236707328428,0.0,0.030822236707328428
07/11/2023,7933,0,7933,2493,577,0,577,5,0,5,0,0,0,0,0,0,0.07336442707676794,0.0,0.07336442707676794
07/12/2023,5918,0,5918,2056,506,0,506,3,0,3,0,0,0,0,0,0,0.08600878675228117,0.0,0.08600878675228117
07/13/2023,3873,0,3873,1586,275,0,275,18,0,18,1,0,1,0,0,0,0.07591014717273431,0.0,0.07591014717273431
07/14/2023,4009,0,4009,1845,188,0,188,31,0,31,37,0,37,0,0,0,0.06385632327263657,0.0,0.06385632327263657
07/15/2023,2530,0,2530,1012,161,0,161,1,0,1,0,0,0,0,0,0,0.06403162055335969,0.0,0.06403162055335969
07/16/2023,2055,0,2055,827,77,0,77,2,0,2,0,0,0,0,0,0,0.03844282238442823,0.0,0.03844282238442823
07/17/2023,4137,0,4137,1905,72,0,72,32,0,32,50,0,50,0,0,0,0.03722504230118443,0.0,0.03722504230118443
07/18/2023,5913,0,5913,2166,101,0,101,3,0,3,-1,0,-1,0,0,0,0.017419245729748012,0.0,0.017419245729748012
07/19/2023,7414,0,7414,3546,102,0,102,83,0,83,78,0,78,0,0,0,0.03547342864850283,0.0,0.03547342864850283
07/20/2023,2752,0,2752,1313,51,0,51,11,0,11,0,0,0,0,0,0,0.02252906976744186,0.0,0.02252906976744186
07/21/2023,4271,0,4271,1747,79,0,79,41,0,41,35,0,35,3,0,3,0.03699367829548115,0.0,0.03699367829548115
07/22/2023,2899,0,2899,1260,71,0,71,4,0,4,2,0,2,-1,0,-1,0.026215936529837874,0.0,0.026215936529837874
07/23/2023,2553,0,2553,973,68,0,68,4,0,4,0,0,0,0,0,0,0.0282021151586369,0.0,0.0282021151586369
07/24/2023,2998,0,2998,1198,102,0,102,23,0,23,18,0,18,0,0,0,0.04769846564376251,0.0,0.04769846564376251
07/25/2023,3158,0,3158,1345,46,0,46,31,0,31,9,0,9,0,0,0,0.027232425585813805,0.0,0.027232425585813805
07/26/2023,3509,0,3509,1349,33,0,33,32,0,32,31,0,31,1,0,1,0.027643203191792535,0.0,0.027643203191792535
07/27/2023,2626,0,2626,1230,16,0,16,26,0,26,25,0,25,0,0,0,0.025514089870525513,0.0,0.025514089870525513
07/28/2023,3030,0,3030,1392,28,0,28,28,0,28,21,0,21,0,0,0,0.025412541254125412,0.0,0.025412541254125412
07/29/2023,4131,0,4131,1599,112,0,112,11,0,11,1,0,1,0,0,0,0.030016945049624787,0.0,0.030016945049624787
07/30/2023,2711,0,2711,996,86,0,86,2,0,2,0,0,0,0,0,0,0.03246034673552195,0.0,0.03246034673552195
07/31/2023,5489,0,5489,1848,203,0,203,2,0,2,0,0,0,0,0,0,0.037347422116961196,0.0,0.037347422116961196
08/01/2023,562,0,562,230,9,0,9,3,0,3,0,0,0,0,0,0,0.021352313167259787,0.0,0.021352313167259787
08/02/2023,464,0,464,229,3,0,3,3,0,3,0,0,0,0,0,0,0.01293103448275862,0.0,0.01293103448275862
08/03/2023,314,0,314,140,2,0,2,4,0,4,0,0,0,0,0,0,0.01910828025477707,0.0,0.01910828025477707
08/04/2023,391,0,391,170,3,0,3,2,0,2,0,0,0,0,0,0,0.01278772378516624,0.0,0.01278772378516624
08/05/2023,295,0,295,140,4,0,4,0,0,0,3,0,3,0,0,0,0.023728813559322035,0.0,0.023728813559322035
08/06/2023,336,0,336,182,7,0,7,3,0,3,0,0,0,0,0,0,0.02976190476190476,0.0,0.02976190476190476
08/07/2023,328,0,328,167,15,0,15,-1,0,-1,1,0,1,0,0,0,0.04573170731707317,0.0,0.04573170731707317
08/08/2023,538,0,538,223,12,0,12,2,0,2,0,0,0,0,0,0,0.026022304832713755,0.0,0.026022304832713755
08/09/2023,2372,0,2372,966,54,0,54,1,0,1,0,0,0,0,0,0,0.023187183811129847,0.0,0.023187183811129847
08/10/2023,2593,0,2593,1033,72,0,72,-2,0,-2,0,0,0,0,0,0,0.02699575780948708,0.0,0.02699575780948708
08/11/2023,5382,0,5382,2012,150,0,150,11,0,11,5,0,5,0,0,0,0.030843552582683016,0.0,0.030843552582683016
08/12/2023,1877,0,1877,808,63,0,63,0,0,0,0,0,0,0,0,0,0.03356419818859883,0.0,0.03356419818859883
08/13/2023,1411,0,1411,590,76,0,76,0,0,0,0,0,0,0,0,0,0.05386250885896527,0.0,0.05386250885896527
08/14/2023,3300,0,3300,1769,79,0,79,6,0,6,0,0,0,0,0,0,0.025757575757575757,0.0,0.025757575757575757
08/15/2023,2014,0,2014,922,48,0,48,4,0,4,0,0,0,0,0,0,0.025819265143992055,0.0,0.025819265143992055
08/16/2023,2240,0,2240,1109,48,0,48,3,0,3,0,0,0,0,0,0,0.022767857142857142,0.0,0.022767857142857142
08/17/2023,3620,0,3620,1489,115,0,115,1,0,1,0,0,0,0,0,0,0.032044198895027624,0.0,0.032044198895027624
08/18/2023,5429,0,5429,2185,138,0,138,0,0,0,0,0,0,0,0,0,0.025419045864800146,0.0,0.025419045864800146
08/19/2023,3898,0,3898,1674,134,0,134,0,0,0,0,0,0,0,0,0,0.03437660338635198,0.0,0.03437660338635198
08/20/2023,2768,0,2768,1199,101,0,101,0,0,0,0,0,0,0,0,0,0.03648843930635838,0.0,0.03648843930635838
08/21/2023,2399,0,2399,923,119,0,119,0,0,0,0,0,0,0,0,0,0.049604001667361404,0.0,0.049604001667361404
08/22/2023,8004,0,8004,2693,239,0,239,0,0,0,0,0,0,0,0,0,0.029860069965017492,0.0,0.029860069965017492
08/23/2023,4230,0,4230,1658,153,0,153,3,0,3,0,0,0,0,0,0,0.03687943262411347,0.0,0.03687943262411347
08/24/2023,4347,0,4347,2060,196,0,196,19,0,19,53,0,53,0,0,0,0.06165171382562687,0.0,0.06165171382562687
08/25/2023,3796,0,3796,1917,75,0,75,23,0,23,14,0,14,0,0,0,0.029504741833508957,0.0,0.029504741833508957
08/26/2023,2436,0,2436,1063,64,0,64,6,0,6,0,0,0,0,0,0,0.028735632183908046,0.0,0.028735632183908046
08/27/2023,2268,0,2268,868,64,0,64,1,0,1,0,0,0,0,0,0,0.028659611992945325,0.0,0.028659611992945325
08/28/2023,5072,0,5072,2406,59,0,59,24,0,24,43,0,43,0,0,0,0.024842271293375396,0.0,0.024842271293375396
08/29/2023,3284,0,3284,1661,33,0,33,50,0,50,86,0,86,0,0,0,0.05146163215590743,0.0,0.05146163215590743
08/30/2023,1934,0,1934,1055,25,0,25,45,0,45,53,0,53,0,0,0,0.06359875904860393,0.0,0.06359875904860393
08/31/2023,1807,0,1807,1006,23,0,23,36,0,36,57,0,57,1,0,1,0.06474820143884892,0.0,0.06474820143884892
09/01/2023,871,0,871,498,5,0,5,4,0,4,0,0,0,-1,0,-1,0.009184845005740528,0.0,0.009184845005740528
09/02/2023,532,0,532,303,1,0,1,0,0,0,0,0,0,0,0,0,0.0018796992481203006,0.0,0.0018796992481203006
